Country Name,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brazil,28.38495011,29.70011651,31.78857249,33.03843349,33.68784497,34.53204593,34.85115397,36.21571301,37.6064228,37.40446495,35.04819768,34.80958208,34.86462881,36.28546155,37.91710947,38.87608879,39.58909297,39.35893056,39.41093694,37.31175139,37.35426477,37.10478884,37.40537817,38.73989228,39.42618467,40.86867634,42.27709557,42.63444924,42.95979406,42.52264625,42.67713028,43.23521668,43.39679324,45.2630999,45.87440315,46.95444243,49.10625227,51.329542,49.17626466,53.86816479,54.21257474,56.05821568,57.93550595,59.30211035, ,,,,
Russia, , , , , , , , , , , ,  , , , , , , , ,235.0868745,232.4102062,212.1841656,200.5541257,175.6140369,170.1372593,168.6272437,161.3737768,157.876939,164.0334025,167.5039675,170.0460234,170.0386008,176.9028359,178.186745,180.0592196,185.9070766,186.7576706,191.2495495,179.677338,191.0875641,200.2229946,204.8855043,201.3809012,195.997909, ,,,,
India,10.60102834,10.59948893,10.65079945,10.81380368,10.94046344,11.12049117,11.17996051,11.07817994,11.32231775,11.3471424,11.64762709,11.81980577,11.92362778,12.1363434,12.48652907,12.64392119,12.84281071,13.25415522,13.58898846,13.88141611,14.17052431,14.39700358,14.45395092,14.72007588,15.26989672,15.44177735,15.75708168,15.84117085,16.45434533,16.54654149,16.49605799,16.70447392,16.82437768,17.43537136,17.83438951,18.48359809,19.23546576,19.88814797,21.59586541,22.27102263,22.91897236,23.75803557,24.02123876,25.24166732, ,,,,
China,18.43581257,18.92098411,19.18065583,19.27782893,20.91628867,21.30037946,22.88792237,24.47180183,24.54669614,24.16648843,23.67842486,24.06240991,24.66038235,25.8168206,26.08188947,26.61520782,27.53565815,28.5634195,28.7130926,30.41336571,29.21809619,29.84368989,31.25135992,32.36298775,34.37224429,34.9598707,34.56741243,34.47233672,34.83578968,35.6471922,36.82979638,39.05031396,44.34873751,50.28477788,55.26349679,60.08058904,64.64053401,66.33501255,70.51952852,77.50984873,82.73464886,85.45790613,87.78133246,88.69217592, ,,,,
South Africa,79.47736359,78.67790038,81.55642437,82.36418941,84.941205,85.69190581,85.3413344,87.98292136,88.6118002,90.78694909,97.22481369,102.8665409,101.8917649,107.603531,104.8380177,106.5171638,107.7956621,109.5908133,102.5267251,98.005308,99.84994685,90.83091138,94.98312289,95.96261354,99.0876584,99.32593374,100.239411,98.00050968,97.71686767,96.15287984,97.58611573,94.53725488,99.85847993,107.7081219,106.2116494,104.1196242,110.0604016,116.9812892,113.0930294,109.7621749,107.7226401,104.5487643,103.2055601,106.8802951, ,,,,
United States,303.125351,314.8812801,323.7081871,313.6357381,303.5908242,321.2084244,328.5445011,334.6046957,330.1889268,314.9310515,303.2448343,287.8414155,285.4638305,295.1470564,295.6602756,292.4814582,302.2390445,311.2632229,312.8704713,304.2058158,302.6076071,304.428994,305.7016519,307.6182303,307.8531436,311.053631,310.4236633,309.4369679,314.1764971,319.47567,310.3961138,311.0090846,309.061772,312.5251542,311.1341822,305.2320043,307.6315205,296.9219827,279.8198812,283.9702164,278.7591456,272.4967991,273.8269241,276.0091994,269.7931208,,,,
